"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Kremfløte Tine3 dl","","","",1454,353,37,24,"","","2,9","2,9","","","","2,1","0,1","","","","","","","","",""
"Kremost Ananas og Mandarin125 gram","","","",1171,283,26,17,"","","6,9","6,9","","","","5,4",1,"","","","","","","","",""
"Kremost Krydder125 gram","","","",1144,277,27,17,"","","2,6","2,6","","","","5,9",1,"","","","","","","","",""
"Kremost Naturell125 gram","","","",1142,277,27,17,"","","2,7","2,7","","","","5,7",1,"","","","","","","","",""
"Kremost Pepper125 gram","","","",1142,277,27,17,"","","2,7","2,7","","","","5,7",1,"","","","","","","","",""
"Krokanrull71 gr","","","",2260,540,31,"18,5","","",60,"56,5","","","1,9","4,6","0,4","","","","","","","","",""
"Kroneis Sjokolade Dipl./Henning145 ml","","","",1242,297,"16,5","11,4","","","32,1","24,7","","","","4,4","0,2","","","","","","","","",""
"Kronenbourg 16643","","","","","","","","","","","","","","","","","","","","","","","","",""
"Krystal Original750 ml","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kulturmelk","","","",235,56,3,"1,9","","",4,4,"","","","3,3","0,1","","","","","","","","",""
"Kvikk lunsj47gr","","","",2270,545,"31,5","19,5","","","55,5","44,5","","","2,4","8,3","0,3","","","","","","","","",""
"Kyllingfilet1 kg","","","",445,105,1,"0,3","0,4","0,2",0,0,"","","",24,"0,2","","","","","","","","",""
"Kålrotkg","","","",149,35,"0,1",0,0,0,"6,4",0,"",0,"2,7","0,9",0,"","","","","","","","",""
"Laban Seigmenn300 gr","","","",1357,320,0,0,"","",76,55,4,"","",5,"0,1","","","","","","","","",""
"Laks4 pakning pris per 500 gr","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lambi tørkerull4 pk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lano Dusjsåpe Refill","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lano Håndsåpe300ml","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lasagne Toro310 gr Familiepakning","","","",725,173,"8,1","3,9","","","12,7","3,6","","","0,7","12,1","0,9","","","","","","","","",""
"Lettmelk Tine1 liter","","","",173,41,1,"0,6","","","4,5","4,5","","","","3,5","0,1","","","","","","","","",""
"Lettrømme Tine3 dl","","","",776,188,18,11,"","","3,7","3,7","","","","2,8","0,1","","","","","","","","",""
"Leverpostei","","","",933,225,19,"5,2","8,5","3,3","3,5","1,2","","",0,10,"1,6","","","","","","","","",""
"Leverpostei 6 stk6x22gr","","","",1105,265,23,0,"","",6,0,"","",0,9,"1,7","","","","","","","","",""
"Leverpostei100 gr","","","",933,225,19,"5,2","8,5","3,3","3,5","1,2","","",0,10,"1,6","","","","","","","","",""
"Limekg","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lion King sjokolade60 gram","","","",2023,483,"22,1","11,8","","","64,7",43,"","","1,5","5,5","0,5","","","","","","","","",""
"Lipton Iste","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lipton Te Yellow25 poser","","","",1660,396,"0,5","0,1","","",94,92,"","","","0,5","0,6","","","","","","","","",""
"Litago Melk Jordbær5 dl","","","",245,58,"1,2","0,7","","","8,6","8,5","","","","3,2","0,1","","","","","","","","",""
"Litago Sjokolademelk 0","","","",257,61,"1,3","0,8","","","8,8","8,6","","","","3,6","0,1","","","","","","","","",""
"Lofoten Fiskesuppe69 gram","","","",183,43,"1,1","0,2","","",6,"2,2","","","","2,2","0,8","","","","","","","","",""
"Lutefisk helside","","","","","","","","","","","","","","","","","","","","","","","","",""
