"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Kremfløte_Tine3_dl","","","",1454,353,37,24,"","","2,9","2,9","","","","2,1","0,1","","","","","","","","",""
"Kremost_Ananas_og_Mandarin125_gram","","","",1171,283,26,17,"","","6,9","6,9","","","","5,4",1,"","","","","","","","",""
"Kremost_Krydder125_gram","","","",1144,277,27,17,"","","2,6","2,6","","","","5,9",1,"","","","","","","","",""
"Kremost_Naturell125_gram","","","",1142,277,27,17,"","","2,7","2,7","","","","5,7",1,"","","","","","","","",""
"Kremost_Pepper125_gram","","","",1142,277,27,17,"","","2,7","2,7","","","","5,7",1,"","","","","","","","",""
"Krokanrull71_gr","","","",2260,540,31,"18,5","","",60,"56,5","","","1,9","4,6","0,4","","","","","","","","",""
"Kroneis_Sjokolade_Dipl./Henning145_ml","","","",1242,297,"16,5","11,4","","","32,1","24,7","","","","4,4","0,2","","","","","","","","",""
"Kronenbourg_16643","","","","","","","","","","","","","","","","","","","","","","","","",""
"Krystal_Original750_ml","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kulturmelk","","","",235,56,3,"1,9","","",4,4,"","","","3,3","0,1","","","","","","","","",""
"Kvikk_lunsj47gr","","","",2270,545,"31,5","19,5","","","55,5","44,5","","","2,4","8,3","0,3","","","","","","","","",""
"Kyllingfilet1_kg","","","",445,105,1,"0,3","0,4","0,2",0,0,"","","",24,"0,2","","","","","","","","",""
"Kålrotkg","","","",149,35,"0,1",0,0,0,"6,4",0,"",0,"2,7","0,9",0,"","","","","","","","",""
"Laban_Seigmenn300_gr","","","",1357,320,0,0,"","",76,55,4,"","",5,"0,1","","","","","","","","",""
"Laks4_pakning_pris_per_500_gr","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lambi_tørkerull4_pk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lano_Dusjsåpe_Refill","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lano_Håndsåpe300ml","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lasagne_Toro310_gr_Familiepakning","","","",725,173,"8,1","3,9","","","12,7","3,6","","","0,7","12,1","0,9","","","","","","","","",""
"Lettmelk_Tine1_liter","","","",173,41,1,"0,6","","","4,5","4,5","","","","3,5","0,1","","","","","","","","",""
